127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=5.9.2 HTTP/1.0" 200 390681
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,regenerator-runtime,wp-polyfill,wp-hooks&ver=5.9.2 HTTP/1.0" 200 32949
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/admin-bar.min.js?ver=5.9.2 HTTP/1.0" 200 3556
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=5.9.2 HTTP/1.0" 200 102612
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/clipboard.min.js?ver=5.9.2 HTTP/1.0" 200 10607
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/dom-ready.min.js?ver=ecda74de0221e1c2ce5c57cbb5af09d5 HTTP/1.0" 200 1257
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/api-request.min.js?ver=5.9.2 HTTP/1.0" 200 1025
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/a11y.min.js?ver=68e470cf840f69530e9db3be229ad4b6 HTTP/1.0" 200 3069
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/vendor/lodash.min.js?ver=4.17.19 HTTP/1.0" 200 73015
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-includes/js/dist/url.min.js?ver=5d9169e30a8883667fee1a7b5dd0fb51 HTTP/1.0" 200 5698
127.0.0.1 - - [20/Mar/2022:15:28:10 +0900] "GET /wp-admin/js/site-health.min.js?ver=5.9.2 HTTP/1.0" 200 6142
